City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,uzgen,40.7699,73.3007,277.31,37,27,1.78,KG,1697419503
1,raduzhny,62.0961,77.475,274.66,94,100,3.25,RU,1697419504
2,grytviken,-54.2811,-36.5092,273.49,88,100,4.7,GS,1697419504
3,ushuaia,-54.8,-68.3,277.96,70,40,6.69,AR,1697419504
4,ilovlya,49.3033,43.9796,283.39,88,0,4.39,RU,1697419504
5,belle fourche,44.6714,-103.8522,284.86,63,100,2.48,US,1697419505
6,tomatlan,19.9333,-105.25,299.48,91,96,2.04,MX,1697419505
7,selfoss,63.9331,-20.9971,279.84,92,100,4.68,IS,1697419506
8,qaqortoq,60.7167,-46.0333,275.41,93,100,1.26,GL,1697419506
9,constantia,44.1833,28.65,286.53,71,100,9.91,RO,1697419030
10,verkhnevilyuysk,63.4453,120.3167,265.9,81,100,2.68,RU,1697419506
11,yellowknife,62.456,-114.3525,282.27,96,75,2.57,CA,1697419507
12,adamstown,-25.066,-130.1015,295.3,78,77,2.19,PN,1697419507
13,papatowai,-46.5619,169.4708,283.47,79,100,5.82,NZ,1697419507
14,ilulissat,69.2167,-51.1,267.16,86,100,9.26,GL,1697419508
15,nurabad,34.0734,47.9725,287.09,39,36,2.91,IR,1697419508
16,malicboy,13.9789,121.7892,298.9,92,100,3.44,PH,1697419508
17,bethel,41.3712,-73.414,283.57,79,0,2.57,US,1697419509
18,misratah,32.3754,15.0925,295.77,65,0,0.97,LY,1697419509
19,kendari,-3.945,122.4989,303.51,56,20,2.13,ID,1697419509
20,cole harbour,44.6724,-63.4751,284.86,90,100,5.66,CA,1697419510
21,tazacorte,28.629,-17.9293,300.45,30,0,2.68,ES,1697419510
22,castillos,-34.1667,-53.8333,288.57,88,100,6.22,UY,1697419510
23,key biscayne,25.6937,-80.1628,301.16,77,20,3.6,US,1697419357
24,gaiseni,44.515,25.6453,287.8,68,100,7.85,RO,1697419511
25,vorgashor,67.5833,63.95,272.46,98,100,5.88,RU,1697419511
26,tiksi,71.6872,128.8694,264.88,90,100,7.25,RU,1697419511
27,colonia,50.9333,6.95,279.74,91,0,0.51,DE,1697419511
28,slave lake,55.2834,-114.769,282.14,71,0,0.0,CA,1697419454
29,kataba,13.9833,44.3833,289.19,59,0,0.95,YE,1697419512
30,isafjordur,66.0755,-23.124,275.75,97,100,5.2,IS,1697419512
31,margaret river,-33.95,115.0667,294.63,46,100,5.54,AU,1697419512
32,iqaluit,63.7506,-68.5145,270.0,73,75,2.57,CA,1697419513
33,puerto natales,-51.7236,-72.4875,277.55,93,80,3.37,CL,1697419513
34,waitangi,-43.9535,-176.5597,285.83,67,11,3.58,NZ,1697419396
35,kenai,60.5544,-151.2583,282.2,84,40,6.69,US,1697419513
36,avarua,-21.2078,-159.775,296.18,60,75,5.66,CK,1697419514
37,villalbilla,40.4498,-3.3452,288.82,92,75,1.54,ES,1697419514
38,ust-nera,64.5667,143.2,259.94,95,50,2.68,RU,1697419514
39,yuzhno-kurilsk,44.0306,145.8556,287.25,69,100,4.02,RU,1697419514
40,shenjiamen,29.9576,122.298,294.89,60,0,4.16,CN,1697419515
41,champerico,14.3,-91.9167,301.11,78,100,1.1,GT,1697419515
42,port-aux-francais,-49.35,70.2167,274.74,72,99,9.92,TF,1697419515
43,severo-yeniseyskiy,60.3725,93.0408,274.03,90,100,4.02,RU,1697419516
44,stanley,54.868,-1.6985,276.64,92,0,1.54,GB,1697418816
45,pitkyaranta,61.5734,31.4792,278.44,78,55,7.7,RU,1697419516
46,maceio,-9.6658,-35.7353,297.84,94,40,3.6,BR,1697419516
47,keflavik,64.0049,-22.5624,280.39,93,75,5.14,IS,1697419517
48,port alfred,-33.5906,26.891,290.47,94,100,2.68,ZA,1697419517
49,udachny,66.4167,112.4,268.4,92,100,5.76,RU,1697419517
50,tralee,52.2704,-9.7026,279.96,87,100,2.76,IE,1697419517
51,luderitz,-26.6481,15.1594,287.59,81,0,2.41,NA,1697419518
52,duncan,34.5023,-97.9578,286.51,55,0,3.09,US,1697419518
53,gebeit,21.0667,36.3167,294.94,64,0,1.83,SD,1697419518
54,karratha,-20.7377,116.8463,306.82,13,0,10.68,AU,1697419518
55,homer,59.6425,-151.5483,282.08,92,100,2.68,US,1697419518
56,kirovskiy,45.0917,133.5136,279.87,43,2,7.64,RU,1697419519
57,aykhal,66.0,111.5,265.97,85,100,2.24,RU,1697419519
58,albany,42.6001,-73.9662,282.41,81,100,4.04,US,1697419519
59,mbandaka,0.0487,18.2603,294.71,97,100,1.14,CD,1697419519
60,prince rupert,54.3161,-130.3201,286.2,85,0,8.23,CA,1697419520
61,port elizabeth,-33.918,25.5701,290.31,96,75,7.2,ZA,1697419520
62,porto novo,6.4965,2.6036,300.05,89,100,2.29,BJ,1697419520
63,katsuura,35.1333,140.3,293.69,57,1,4.75,JP,1697419520
